10/09/20 23:42
Données du projet

                           	Segments	  Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   68076	306184	                  1954790	                  2142420	               230	
Restants :                 	   68076	306184	                  1954790	                  2142420	               230	
Segments uniques :         	    7223	 54278	                   296335	                   338948	               113	
Segments uniques restants :	    7223	 54278	                   296335	                   338948	               113	


Statistiques par fichiers :

Nom du fichier                                                      	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Beta/challenge/CHALE001.txt                                         	             7	                7	               7	                        7	       124	          124	         124	                  124	                            692	                               692	                              692	                                       692	                            798	                               798	                              798	                                       798	
Beta/challenge/CHALE002.txt                                         	             6	                6	               3	                        3	        68	           68	          57	                   57	                            362	                               362	                              296	                                       296	                            415	                               415	                              345	                                       345	
Beta/font/Notice.html                                               	            64	               64	              63	                       63	      1465	         1465	        1465	                 1465	                           7991	                              7991	                             7991	                                      7991	                           9380	                              9380	                             9380	                                      9380	
Beta/MOD_kit/How to use MOD Kit.txt                                 	             4	                4	               4	                        4	        64	           64	          64	                   64	                            322	                               322	                              322	                                       322	                            377	                               377	                              377	                                       377	
Beta/music/Readme.txt                                               	            14	               14	              14	                       14	       157	          157	         157	                  157	                            778	                               778	                              778	                                       778	                            913	                               913	                              913	                                       913	
Beta/scenario/breakthrough_in_training.txt                          	            73	               73	              63	                       63	       366	          366	         348	                  348	                           2515	                              2515	                             2176	                                      2176	                           2762	                              2762	                             2415	                                      2415	
Beta/scenario/China_opening_up.txt                                  	            79	               79	              39	                       39	       397	          397	         275	                  275	                           2459	                              2459	                             1536	                                      1536	                           2728	                              2728	                             1748	                                      1748	
Beta/scenario/corporate_leadership.txt                              	           138	              138	              58	                       58	       761	          761	         423	                  423	                           4671	                              4671	                             2274	                                      2274	                           5196	                              5196	                             2588	                                      2588	
Beta/scenario/Dilemma_of_a_Camera_Manufacturer.txt                  	            76	               76	              31	                       31	       409	          409	         177	                  177	                           2655	                              2655	                             1045	                                      1045	                           2940	                              2940	                             1170	                                      1170	
Beta/scenario/Family_farm_business.txt                              	            84	               84	              31	                       31	       409	          409	         250	                  250	                           2544	                              2544	                             1366	                                      1366	                           2817	                              2817	                             1563	                                      1563	
Beta/scenario/fashion_venture.txt                                   	           110	              110	              47	                       47	       570	          570	         392	                  392	                           3566	                              3566	                             2089	                                      2089	                           3958	                              3958	                             2396	                                      2396	
Beta/scenario/food_and_beverage.txt                                 	            86	               86	              23	                       23	       429	          429	         252	                  252	                           2701	                              2701	                             1382	                                      1382	                           2991	                              2991	                             1595	                                      1595	
Beta/scenario/legacy_brand.txt                                      	            87	               87	              30	                       30	       494	          494	         319	                  319	                           3111	                              3111	                             1731	                                      1731	                           3468	                              3468	                             2004	                                      2004	
Beta/scenario/legendary_investor.txt                                	            49	               49	              10	                       10	       251	          251	         127	                  127	                           1593	                              1593	                              679	                                       679	                           1761	                              1761	                              789	                                       789	
Beta/scenario/media_empire.txt                                      	            49	               49	               8	                        8	       215	          215	          82	                   82	                           1379	                              1379	                              414	                                       414	                           1511	                              1511	                              482	                                       482	
Beta/scenario/Multinational_Corporation.txt                         	            98	               98	              35	                       35	       488	          488	         303	                  303	                           3141	                              3141	                             1634	                                      1634	                           3464	                              3464	                             1870	                                      1870	
Beta/scenario/Opportunities_in_Small_Cities.txt                     	            79	               79	              24	                       24	       396	          396	         222	                  222	                           2535	                              2535	                             1234	                                      1234	                           2800	                              2800	                             1414	                                      1414	
Beta/scenario/real_estate_mogul.txt                                 	            76	               76	              17	                       17	       377	          377	         193	                  193	                           2470	                              2470	                             1040	                                      1040	                           2725	                              2725	                             1206	                                      1206	
Beta/scenario/tech_leader.txt                                       	            87	               87	              25	                       25	       478	          478	         290	                  290	                           3054	                              3054	                             1569	                                      1569	                           3393	                              3393	                             1815	                                      1815	
Beta/scenario/toys_and_gadgets.txt                                  	           105	              105	              29	                       29	       459	          459	         246	                  246	                           3068	                              3068	                             1347	                                      1347	                           3360	                              3360	                             1541	                                      1541	
Beta/scenario_dlc/CityEcoSim/Economic_Revival.txt                   	            79	               79	              29	                       29	       413	          413	         219	                  219	                           2623	                              2623	                             1203	                                      1203	                           2902	                              2902	                             1368	                                      1368	
Beta/scenario_dlc/CityEcoSim/Investing_in_Education.txt             	            88	               88	              25	                       25	       443	          443	         148	                  148	                           2778	                              2778	                              827	                                       827	                           3076	                              3076	                              930	                                       930	
Beta/scenario_dlc/CityEcoSim/Metropolitan_Transformation.txt        	            77	               77	              12	                       12	       364	          364	          98	                   98	                           2387	                              2387	                              562	                                       562	                           2622	                              2622	                              637	                                       637	
Beta/scenario_dlc/CityEcoSim/Towards_a_Better_Quality_of_Life.txt   	            81	               81	              15	                       15	       419	          419	         123	                  123	                           2611	                              2611	                              635	                                       635	                           2896	                              2896	                              729	                                       729	
Beta/scenario_dlc/CityEcoSim/Welfare_Vision.txt                     	            91	               91	              25	                       25	       452	          452	         167	                  167	                           2837	                              2837	                              926	                                       926	                           3133	                              3133	                             1044	                                      1044	
Beta/scenario_dlc/DigitalAge/E-commerce Behemoth.txt                	            54	               54	              10	                       10	       248	          248	         112	                  112	                           1638	                              1638	                              659	                                       659	                           1786	                              1786	                              746	                                       746	
Beta/scenario_dlc/DigitalAge/Internet Dominance.txt                 	            67	               67	              19	                       19	       331	          331	         185	                  185	                           2058	                              2058	                             1026	                                      1026	                           2269	                              2269	                             1174	                                      1174	
Beta/scenario_dlc/DigitalAge/Software Giant.txt                     	            60	               60	              13	                       13	       281	          281	         135	                  135	                           1883	                              1883	                              837	                                       837	                           2056	                              2056	                              945	                                       945	
Beta/scenario_dlc/Subsidiary/Industry_Dominance.txt                 	            57	               57	              15	                       15	       275	          275	         147	                  147	                           1827	                              1827	                              875	                                       875	                           2001	                              2001	                              990	                                       990	
Beta/scenario_dlc/Subsidiary/Strategic_Positioning.txt              	            62	               62	              17	                       17	       373	          373	         198	                  198	                           2264	                              2264	                             1049	                                      1049	                           2532	                              2532	                             1216	                                      1216	
Beta/scenario_dlc/Subsidiary/Success_in_IPO.txt                     	            59	               59	              13	                       13	       342	          342	         199	                  199	                           2056	                              2056	                             1027	                                      1027	                           2295	                              2295	                             1201	                                      1201	
Beta/scenario_dlc/Subsidiary/Supercharging_ROI.txt                  	            58	               58	              14	                       14	       326	          326	         191	                  191	                           2097	                              2097	                             1109	                                      1109	                           2321	                              2321	                             1272	                                      1272	
Beta/scenario_dlc/Subsidiary/The_Master_of_Capital.txt              	            60	               60	              15	                       15	       316	          316	         164	                  164	                           2022	                              2022	                              967	                                       967	                           2233	                              2233	                             1101	                                      1101	
Beta/script/autosave every 10 days.txt                              	             6	                6	               4	                        4	        28	           28	          25	                   25	                            253	                               253	                              231	                                       231	                            273	                               273	                              250	                                       250	
Beta/script/autosave every 15 minutes.txt                           	             6	                6	               3	                        3	        34	           34	          31	                   31	                            281	                               281	                              159	                                       159	                            307	                               307	                              184	                                       184	
Beta/script/from users/10 cities.txt                                	            35	               35	              25	                       25	       239	          239	         208	                  208	                           1249	                              1249	                             1055	                                      1055	                           1445	                              1445	                             1238	                                      1238	
Beta/script/sample scripts/sample_script_challenge_game.txt         	            11	               11	               7	                        7	        78	           78	          67	                   67	                            446	                               446	                              384	                                       384	                            512	                               512	                              445	                                       445	
Beta/script/sample scripts/sample_script_cities.txt                 	            31	               31	              20	                       20	       215	          215	         185	                  185	                           1052	                              1052	                              883	                                       883	                           1222	                              1222	                             1042	                                      1042	
Beta/script/sample scripts/sample_script_competitors.txt            	            51	               51	              37	                       37	       372	          372	         318	                  318	                           2290	                              2290	                             1951	                                      1951	                           2602	                              2602	                             2235	                                      2235	
Beta/script/sample scripts/sample_script_environment.txt            	            50	               50	              15	                       15	       377	          377	         138	                  138	                           1981	                              1981	                              721	                                       721	                           2294	                              2294	                              838	                                       838	
Beta/script/sample scripts/sample_script_goals.txt                  	            55	               55	              35	                       35	       348	          348	         307	                  307	                           2052	                              2052	                             1550	                                      1550	                           2321	                              2321	                             1800	                                      1800	
Beta/script/sample scripts/sample_script_imports.txt                	            15	               15	               9	                        9	       101	          101	          84	                   84	                            555	                               555	                              445	                                       445	                            633	                               633	                              516	                                       516	
Beta/script/sample scripts/sample_script_main_goal.txt              	            72	               72	              46	                       46	       469	          469	         409	                  409	                           3026	                              3026	                             2286	                                      2286	                           3408	                              3408	                             2637	                                      2637	
Beta/script/sample scripts/sample_script_player_expertise.txt       	            17	               17	              14	                       14	       133	          133	         101	                  101	                            716	                               716	                              567	                                       567	                            827	                               827	                              648	                                       648	
Beta/script/sample scripts/sample_script_products.txt               	            36	               36	              21	                       21	       295	          295	         194	                  194	                           1631	                              1631	                             1076	                                      1076	                           1871	                              1871	                             1238	                                      1238	
Beta/script/sample scripts/sample_script_special_rules.txt          	            80	               80	              57	                       57	       671	          671	         647	                  647	                           4197	                              4197	                             3456	                                      3456	                           4788	                              4788	                             4031	                                      4031	
Beta/script/senior management salaries 20%.txt                      	             9	                9	               6	                        6	        44	           44	          41	                   41	                            342	                               342	                              220	                                       220	                            373	                               373	                              250	                                       250	
Beta/script/senior management salaries 50%.txt                      	             9	                9	               6	                        6	        44	           44	          41	                   41	                            342	                               342	                              220	                                       220	                            372	                               372	                              249	                                       249	
Beta/script/t/Bello.txt                                             	         20462	            20462	              46	                       46	     81913	        81913	         175	                  175	                         542503	                            542503	                             1414	                                      1414	                         583525	                            583525	                             1499	                                      1499	
Beta/script/t/black.txt                                             	            64	               64	              14	                       14	       214	          214	          44	                   44	                           1298	                              1298	                              272	                                       272	                           1391	                              1391	                              288	                                       288	
Beta/script/t/locks firms.txt                                       	            23	               23	              12	                       12	        62	           62	          39	                   39	                            380	                               380	                              221	                                       221	                            415	                               415	                              244	                                       244	
Beta/script/t/My products.txt                                       	            31	               31	               9	                        9	       106	          106	          34	                   34	                            708	                               708	                              224	                                       224	                            757	                               757	                              241	                                       241	
Beta/script/t/products.txt                                          	            30	               30	               0	                        0	       103	          103	           0	                    0	                            692	                               692	                                0	                                         0	                            740	                               740	                                0	                                         0	
Beta/script/t/script01.txt                                          	             9	                9	               5	                        5	        51	           51	          26	                   26	                            288	                               288	                              138	                                       138	                            324	                               324	                              154	                                       154	
